work_item_id,parent_work_item_id,kind,title,body,labels,sprint
1,,epic,TMJ 2025 - DOCX como Spec de Dados,"Épico: DOCX como Spec de Dados

- Objetivo:
  - Tratar o documento modelo como ""contrato de dados"" versionado, com checklist de secoes/metricas e mapeamento para schema.
- Escopo:
  - Extrair secoes, figuras e tabelas do DOCX.
  - Manter checklist com status (OK/GAP/INCONSISTENTE).
  - Gerar mapeamento DOCX -> tabelas/campos -> queries do relatorio.
- Fora de escopo:
  - Extracao completa de todas as fontes (fica em epicos de extractors).
- Entregaveis:
  - Checklist ""DOCX como spec"" atualizado e rastreavel.
  - Mapeamento ""DOCX -> schema"" e views `mart_report_*` definidas.
- DoD:
  - Cada metrica do DOCX aponta para tabela/campo e regra de calculo.
  - Itens obrigatorios do DOCX com status definido e justificativa.
- Dependencias:
  - Acesso ao DOCX final e feedback consolidado.
- Riscos:
  - Mudancas frequentes no template podem quebrar geracao sem uma camada de compatibilidade.

---
**Tipo:** Épico
**ID legado:** TMJ-ETL-001
","tmj2025,etl,epic,docx-como-spec-de-dados",
2,,epic,TMJ 2025 - Ingestion Registry / Catalogo de fontes,"Épico: Ingestion Registry / Catalogo de fontes

- Objetivo:
  - Centralizar registro de fontes, execucoes de ingestao e linhagem de metricas.
- Escopo:
  - Criar `sources`, `ingestions` e padrao de `source_id`.
  - Hash de arquivo e versionamento por execucao.
- Fora de escopo:
  - Transformacoes complexas (fica em normalizacao).
- Entregaveis:
  - Tabelas e endpoints internos para consultar ingestao/linhagem.
- DoD:
  - Qualquer carga de dados gera registro de ingestao com status e logs.
- Dependencias:
  - Banco com migrations.
- Riscos:
  - Falta de disciplina operacional gera ""dados sem fonte"".

---
**Tipo:** Épico
**ID legado:** TMJ-ETL-002
","tmj2025,etl,epic,ingestion-registry-catalogo-de-fontes",
3,,epic,TMJ 2025 - Extractors por tipo (PDF/XLSX/PPTX),"Épico: Extractors por tipo (PDF/XLSX/PPTX)

- Objetivo:
  - Automatizar extracao de dados de arquivos heterogeneos para staging com minima perda.
- Escopo:
  - XLSX: leitura de abas, headers mesclados, normalizacao inicial.
  - PPTX: extracao por slide e mapeamento slide->metrica.
  - PDF: extracao de tabelas (controle de acesso) e quadros (DIMAC/MTC), com fallback assistido.
- Fora de escopo:
  - Enriquecimento e reconciliacao (fica em canonical/marts).
- Entregaveis:
  - Scripts/servicos `extract_xlsx_*`, `extract_pptx_*`, `extract_pdf_*`.
  - Artefatos staging (`stg_*`) com log de evidencias.
- DoD:
  - Para cada fonte do inventario, existe um extractor executavel que gera staging consistente.
- Dependencias:
  - Bibliotecas e ambiente de execucao; padrao de pastas raw/staging.
- Riscos:
  - PDFs com layout instavel exigem estrategia de resiliencia (spec de extracao por versao).

---
**Tipo:** Épico
**ID legado:** TMJ-ETL-003
","tmj2025,etl,epic,extractors-por-tipo-pdf-xlsx-pptx",
4,,epic,TMJ 2025 - Normalizacao e Regras de Metrica,"Épico: Normalizacao e Regras de Metrica

- Objetivo:
  - Padronizar chaves (evento/sessao), dominios e regras para gerar metricas do relatorio.
- Escopo:
  - Catalogo de sessoes (`event_sessions`) e regra de classificacao (diurno gratuito vs noturno show).
  - Mapeamento de segmentos (proxy relacionamento BB) auditavel.
  - Regua de publico: separar entradas validadas, opt-in, vendidos e publico unico.
- Fora de escopo:
  - Visualizacao e layout do Word (fica no gerador).
- Entregaveis:
  - Tabelas canonicas populadas e views `mart_report_*`.
- DoD:
  - Metric definitions documentadas e implementadas em views.
  - Reconciliacoes basicas rodando (somas, percentuais, consistencia).
- Dependencias:
  - Extractors entregando staging.
- Riscos:
  - Ambiguidade de definicoes entre areas gera metricas conflitantes.

---
**Tipo:** Épico
**ID legado:** TMJ-ETL-004
","tmj2025,etl,epic,normalizacao-e-regras-de-metrica",
5,,epic,TMJ 2025 - Data Quality + Observabilidade,"Épico: Data Quality + Observabilidade

- Objetivo:
  - Detectar falhas, inconsistencias e mudancas de layout antes de publicar relatorio.
- Escopo:
  - Checks de esquema, nulos criticos, duplicidade, reconciliacao de derivados.
  - Alertas de ingestao parcial e drift de layout.
  - Painel interno de saude de dados por fonte e por sessao.
- Fora de escopo:
  - Monitoramento corporativo completo (integracoes externas).
- Entregaveis:
  - Suite de validacoes + relatorio de qualidade por execucao.
- DoD:
  - Falhas criticas bloqueiam geracao do relatorio.
  - Logs e evidencias acessiveis para auditoria.
- Dependencias:
  - Ingestion registry implementado.
- Riscos:
  - Excesso de checks sem priorizacao pode travar o fluxo; definir severidades.

---
**Tipo:** Épico
**ID legado:** TMJ-ETL-005
","tmj2025,etl,epic,data-quality-observabilidade",
6,,epic,TMJ 2025 - Report Generator (Word) a partir do banco,"Épico: Report Generator (Word) a partir do banco

- Objetivo:
  - Gerar automaticamente o DOCX final a partir das views/marts, preservando o template.
- Escopo:
  - Template DOCX com placeholders por secao e figura.
  - Render de tabelas e graficos a partir de queries.
  - Insercao de notas metodologicas e definicoes padrao.
- Fora de escopo:
  - Edicao manual do texto final (exceto ajustes pontuais).
- Entregaveis:
  - Motor de render e comando de geracao por evento/versao.
- DoD:
  - Relatorio gerado reproduz secoes e ordem do template.
  - Cada numero exibido aponta para linhagem (fonte + local).
- Dependencias:
  - Marts/views prontos.
- Riscos:
  - Mudanca no template quebra placeholders; exigir testes de snapshot do DOCX.

---
**Tipo:** Épico
**ID legado:** TMJ-ETL-006
","tmj2025,etl,epic,report-generator-word-a-partir-do-banco",
7,,epic,TMJ 2025 - Cobertura de shows por dia,"Épico: Cobertura de shows por dia

- Objetivo:
  - Evitar repeticao do bug de omissao por dia, garantindo que sessoes de show existam e tenham fontes para cada dia previsto.
- Escopo:
  - Auditoria automatica de cobertura por dia/sessao (show) antes de fechar relatorio.
  - Checklist de fontes minimas por sessao: controle de acesso, vendas total, opt-in (quando aplicavel).
  - Mecanismo de ""GAP formal"" no relatorio quando a fonte nao existe.
- Fora de escopo:
  - Criar dados ausentes; o foco e detectar e registrar lacunas.
- Entregaveis:
  - View `mart_report_show_day_summary` + alerta de gaps.
  - Secao do relatorio com status por dia (OK/GAP/INCONSISTENTE).
- DoD:
  - Para cada sessao de show prevista, o pipeline sinaliza se ha (ou nao) as fontes necessarias.
- Dependencias:
  - Catalogo de sessoes e sources/ingestions.
- Riscos:
  - Agenda de sessoes sem fonte oficial; exigir ""agenda master"" como input.

---
**Tipo:** Épico
**ID legado:** TMJ-ETL-007
","tmj2025,etl,epic,cobertura-de-shows-por-dia",
8,1,task,TMJ-ETL-001 - Criar pacote de spec (DOCX) e CLI base,"*ID:* TMJ-ETL-001
*Sprint:* Sprint 1 — Checklist do DOCX como contrato
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 1 — Checklist do DOCX como contrato
**Épico:** DOCX como Spec de Dados

**Contexto:** Precisamos tornar o DOCX um spec executável, com uma base de código única para extrair estrutura e gerar artefatos de planejamento.
**Escopo:**
- Inclui: criar estrutura `npbb/core/spec/` e um comando CLI mínimo para rodar a extração do spec do DOCX
- Exclui: implementar mapeamentos para banco/marts (fica na Sprint 2)

**Implementação (passos):**
- Criar os pacotes `npbb/core/` e `npbb/core/spec/` com `__init__.py` e docstrings de módulo.
- Criar `npbb/etl/cli_spec.py` com um comando `spec:extract` que recebe caminho do DOCX e caminho de saída.
- Adicionar documentação curta de uso no topo do CLI (exemplos de comando).

**Critérios de aceite:**
- [ ] Pacotes e módulos importam sem erro e possuem docstrings de módulo
- [ ] CLI `spec:extract` executa e escreve um artefato de saída (mesmo que inicial/simplificado)
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/__init__.py`
- `npbb/core/spec/__init__.py`
- `npbb/etl/cli_spec.py`

**Dependências:**
- nenhuma

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 1
**ID legado:** TMJ-ETL-008
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-1",Sprint 1
9,1,task,TMJ-ETL-002 - Extrair seções e headings do DOCX (parser),"*ID:* TMJ-ETL-002
*Sprint:* Sprint 1 — Checklist do DOCX como contrato
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 1 — Checklist do DOCX como contrato
**Épico:** DOCX como Spec de Dados

**Contexto:** O spec depende de identificar a árvore de seções (Heading 1/2/3) e o texto associado a cada seção.
**Escopo:**
- Inclui: extrator de seções/headings e normalização (nível, título, corpo)
- Exclui: extração de tabelas e figuras (issue separada)

**Implementação (passos):**
- Implementar `DocxSectionExtractor` com função `extract_sections(docx_path) -> list[Section]`.
- Normalizar níveis (ex.: `Heading 1` vira `level=1`) e limpar whitespace.
- Registrar erros de parsing com exceções claras e mensagens acionáveis.

**Critérios de aceite:**
- [ ] Extração retorna lista ordenada de seções com `level`, `title` e `body_lines`
- [ ] Falhas (arquivo inexistente, docx inválido) retornam erro controlado com mensagem clara
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/docx_sections.py`
- `npbb/etl/cli_spec.py`

**Dependências:**
- TMJ-ETL-001

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 1
**ID legado:** TMJ-ETL-009
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-1",Sprint 1
10,1,task,TMJ-ETL-003 - Extrair inventário de figuras e tabelas do DOCX,"*ID:* TMJ-ETL-003
*Sprint:* Sprint 1 — Checklist do DOCX como contrato
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 1 — Checklist do DOCX como contrato
**Épico:** DOCX como Spec de Dados

**Contexto:** O fechamento exige lista de figuras e tabelas (ex.: ""Figura X - ..."") para garantir que o report generator tenha contratos explícitos.
**Escopo:**
- Inclui: identificar linhas de figura e extrair cabeçalhos de tabelas do DOCX
- Exclui: gerar gráficos/imagens (isso é do report generator)

**Implementação (passos):**
- Implementar `extract_figures(paragraphs)` para capturar itens do tipo ""Figura"".
- Implementar `extract_tables(doc)` para capturar cabeçalho (primeira linha) e número de colunas.
- Associar cada figura/tabela à seção mais próxima (heurística simples e documentada).

**Critérios de aceite:**
- [ ] Inventário de figuras contém texto completo do título e posição aproximada no documento
- [ ] Inventário de tabelas captura cabeçalhos e número de colunas de cada tabela
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/docx_figures_tables.py`
- `npbb/core/spec/docx_sections.py`

**Dependências:**
- TMJ-ETL-002

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 1
**ID legado:** TMJ-ETL-010
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-1",Sprint 1
